run_family,model_line,model_role,condition,run_id,config_path,config_sha256,result_path,result_sha256,metadata_path,metadata_sha256,trace_path,trace_sha256,model_id,model_revision,revision_evidence,adapter,runner_variant,runner_sha256,runner_hash_evidence,prompt_format,system_prompt_sha256,max_input_tokens,max_new_tokens,generation_batch_size,extractor_mode,timeout_policy,cases,unique_case_ids,missing_cases,duplicate_cases,case_order_identical,raw_outputs_nonempty,extracted_sql_nonempty,execution_status_complete,trace_rows,trace_order_identical,prompt_tokens_max,prompt_tokens_over_limit,prompt_truncations,summary_consistent,authoritative_status,notes
PRE_K3_AUTHORITATIVE_BASELINE,Qwen 3.5 2B,base,zero_shot,run_base_20260627_211410,configs/eval_qwen35_2b_base_zero_shot_full_aliasnames.json,298d17aedea37a860b42e48e2b6718402e811f62ad85480331b1e8d9e770add7,results/run_base_20260627_211410.csv,5db92d6153c2a77acaf850b8d101008184133013c74f6180c5cbab5e527f7331,results/run_base_20260627_211410_metadata.json,e061dd030636f60c99539f5eac0274aca9d573f8558b2fc11ce3489635bcf4fd,,,Qwen/Qwen3.5-2B-Base,b1485b2fa6dfa1287294f269f5fb618e03d52d7c,AUDIT_RECONSTRUCTED,base,main_06_batch_run,,NOT_PERSISTED,qwen_sqlctx_chatml,d6dd5afc21336e4b44114511a1084e88758692cfb9ad1c24b9ca14e2f30a147e,1536,256,1,sql_first_statement_only,none_explicit,1032,1032,0,0,True,1032,1023,True,0,,736,0,0,True,COMPLETE_VALID,model revision reconstructed from authoritative audit/cache; not persisted in this run metadata; runtime runner SHA256 not persisted; method/config/results independently audited
PRE_K3_AUTHORITATIVE_BASELINE,Qwen 3.5 2B,lora_v2,zero_shot,run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_083452,configs/eval_qwen35_2b_lora_v2_old25k_r8_alpha16_mixedval2500_v2_bestepoch1_zero_shot_maxinput2048_full_aliasnames.json,8a3785a2efb9d4d6a53cc8334115907d01a1cc38d28f17ab6dbeed9662511718,results/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_083452.csv,31137bc20930d3800b0ab9012fee6c0dfc2ffbda9d15b6b74f96dd6fa34ab507,results/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_083452_metadata.json,4a0c2da5c18d576cb5fa3d584e9555220303efe6cf4642d2fee29bc82419f1ba,,,Qwen/Qwen3.5-2B-Base,b1485b2fa6dfa1287294f269f5fb618e03d52d7c,AUDIT_RECONSTRUCTED,lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5,main_06_batch_run,,NOT_PERSISTED,qwen_sqlctx_chatml,d6dd5afc21336e4b44114511a1084e88758692cfb9ad1c24b9ca14e2f30a147e,2048,256,1,sql_first_statement_only,none_explicit,1032,1032,0,0,True,1032,1032,True,0,,736,0,0,True,COMPLETE_VALID,model revision reconstructed from authoritative audit/cache; not persisted in this run metadata; runtime runner SHA256 not persisted; method/config/results independently audited
PRE_K3_AUTHORITATIVE_BASELINE,Llama 3.2 3B Instruct,base,zero_shot,run_base_20260714_162526,configs/eval_llama32_3b_instruct_base_zero_shot_maxinput2048_full_aliasnames.json,b06e89e06cc4bfe87f2f74a12a737386aa49524507166c60d8ba16a622610763,results/run_base_20260714_162526.csv,e24f8ed9a2421cb78637fac1faeef1464f79019f98604685d1d4ff9bcf37173a,results/run_base_20260714_162526_metadata.json,f8ab85f769919076063f5c52768fe8bb2abb0a72291cc22719909ed7cd361c71,,,meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,PERSISTED,base,main_06_batch_run,a37286649920f4224999b5184e6117ea31f24968ad2c353ff338397c99a7a3c9,PERSISTED,llama32_instruct_native_chat,d6dd5afc21336e4b44114511a1084e88758692cfb9ad1c24b9ca14e2f30a147e,2048,256,1,sql_first_statement_only,none_explicit,1032,1032,0,0,True,1032,1027,True,0,,742,0,0,True,COMPLETE_VALID,
PRE_K3_AUTHORITATIVE_BASELINE,Llama 3.2 3B Instruct,lora_v2,zero_shot,run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_215808,configs/eval_llama32_3b_instruct_lora_v2_old25k_r8_alpha16_mixedval2500_v2_zero_shot_maxinput2048_full_aliasnames.json,8d0de1fa0d169924bfadd3ae7584bd42359f6ebcb2008827f936a57732f79be0,results/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_215808.csv,529b46d47775d1ce4ca677e8bd7eba129df25798736cd85b62a953340f7cfda0,results/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_215808_metadata.json,9fceb76bf62d24eed3fb5c676436ea0e314c985d3063b5a4ec77b3131a94c73a,,,meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,PERSISTED,lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5,main_06_batch_run,a37286649920f4224999b5184e6117ea31f24968ad2c353ff338397c99a7a3c9,PERSISTED,llama32_instruct_native_chat,d6dd5afc21336e4b44114511a1084e88758692cfb9ad1c24b9ca14e2f30a147e,2048,256,1,sql_first_statement_only,none_explicit,1032,1032,0,0,True,1032,1032,True,0,,742,0,0,True,COMPLETE_VALID,
PRE_K3_AUTHORITATIVE_BASELINE,Qwen 3.5 9B,base,zero_shot,run_base_20260624_221131,configs/archive/eval_spider_qwen35_9b_base_anti_overjoin_full_qwen_sqlctx_chatml_aliasnames.json,a7bbd5fb2af01623a26e7c6498c72590bdf4e04bfbb6fa9fe0bf7610b6d04003,results/run_base_20260624_221131.csv,f4b5c650c47ce7ea4fed78134d02fc94987ec72dce9679d29a31f4e086332c10,results/run_base_20260624_221131_metadata.json,648aeac75235f6de4473e925cc2cad2bd4a66d7f58311f258f57076563f64254,,,Qwen/Qwen3.5-9B-Base,68c46c4b3498877f3ef123c856ecfde50c39f404,AUDIT_RECONSTRUCTED,base,main_06_batch_run,,NOT_PERSISTED,qwen_sqlctx_chatml,d6dd5afc21336e4b44114511a1084e88758692cfb9ad1c24b9ca14e2f30a147e,1536,256,1,sql_first_statement_only,none_explicit,1032,1032,0,0,True,1032,1032,True,0,,736,0,0,True,COMPLETE_VALID,model revision reconstructed from authoritative audit/cache; not persisted in this run metadata; runtime runner SHA256 not persisted; method/config/results independently audited
PRE_K3_AUTHORITATIVE_BASELINE,Qwen 3.5 9B,lora_v2,zero_shot,run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260713_120126,configs/eval_qwen35_9b_lora_v2_old25k_r8_alpha16_mixedval2500_v2_bestepoch1_zero_shot_maxinput2048_full_aliasnames.json,6e642ae09d7641570df3a8340b2c02cc4f6d15ea07a569db6407892160f08d85,results/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260713_120126.csv,ce588179496c50a8c86ee4139b9d844f09f895c9fa08e352e3f2d8cc40324971,results/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260713_120126_metadata.json,e65a66cf9ed0f5b58130284f4e08acb06adf08f0ffa84290fe809c0066c7e323,,,Qwen/Qwen3.5-9B-Base,68c46c4b3498877f3ef123c856ecfde50c39f404,AUDIT_RECONSTRUCTED,lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5,main_06_batch_run,,NOT_PERSISTED,qwen_sqlctx_chatml,d6dd5afc21336e4b44114511a1084e88758692cfb9ad1c24b9ca14e2f30a147e,2048,256,1,sql_first_statement_only,none_explicit,1032,1032,0,0,True,1032,1032,True,0,,736,0,0,True,COMPLETE_VALID,model revision reconstructed from authoritative audit/cache; not persisted in this run metadata; runtime runner SHA256 not persisted; method/config/results independently audited
PRE_K3_AUTHORITATIVE_BASELINE,Qwen 3.5 2B,base,top1,run_base_20260712_171240,configs/eval_qwen35_2b_base_dynamic_fewshot_bge_large_top1_k1_full_schema_maxinput2048_full_aliasnames.json,1fc6fb46af7266f839a507b17fc485d77272fdf69c5a5e06169227a7552d1ab9,results/run_base_20260712_171240.csv,0a70345b074532855bbf9ef09a78ea759f7b4037f51f640d2cc07af9156de446,results/run_base_20260712_171240_metadata.json,ccc53f6550c83c6ed9f65f5e78a58788fdec95d845554627de205132841957c0,results/retrieval_traces/run_base_20260712_171240_retrieval_traces.jsonl,e79c0297ad3a0a94e00da96af175693e8dfd450b0cfbd9761c2e46d3efafa049,Qwen/Qwen3.5-2B-Base,b1485b2fa6dfa1287294f269f5fb618e03d52d7c,AUDIT_RECONSTRUCTED,base,main_06_batch_run,,NOT_PERSISTED,qwen_sqlctx_chatml,d6dd5afc21336e4b44114511a1084e88758692cfb9ad1c24b9ca14e2f30a147e,2048,256,1,sql_first_statement_only,none_explicit,1032,1032,0,0,True,1032,1025,True,1032,True,2045,0,0,True,COMPLETE_VALID,model revision reconstructed from authoritative audit/cache; not persisted in this run metadata; runtime runner SHA256 not persisted; method/config/results independently audited
PRE_K3_AUTHORITATIVE_BASELINE,Qwen 3.5 2B,lora_v2,top1,run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_091541,configs/eval_qwen35_2b_lora_v2_old25k_r8_alpha16_mixedval2500_v2_bestepoch1_dynamic_bge_large_top1_k1_full_schema_maxinput2048_full_aliasnames.json,b1f4c4b99afc69dff277dba2b9b61d1c4b2c608d3b8958a025e8d8ec53d50535,results/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_091541.csv,96408c76e118377b37ce2064d3ff7ce0ec9c85fb13f81acd0da625a31fc72d0e,results/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_091541_metadata.json,d7b25eb024f35589998ab50acb098689ffcc3e0a65003ffabd28afbce7110dd7,results/retrieval_traces/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_091541_retrieval_traces.jsonl,e79c0297ad3a0a94e00da96af175693e8dfd450b0cfbd9761c2e46d3efafa049,Qwen/Qwen3.5-2B-Base,b1485b2fa6dfa1287294f269f5fb618e03d52d7c,AUDIT_RECONSTRUCTED,lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5,main_06_batch_run,,NOT_PERSISTED,qwen_sqlctx_chatml,d6dd5afc21336e4b44114511a1084e88758692cfb9ad1c24b9ca14e2f30a147e,2048,256,1,sql_first_statement_only,none_explicit,1032,1032,0,0,True,1032,1032,True,1032,True,2045,0,0,True,COMPLETE_VALID,model revision reconstructed from authoritative audit/cache; not persisted in this run metadata; runtime runner SHA256 not persisted; method/config/results independently audited
PRE_K3_AUTHORITATIVE_BASELINE,Llama 3.2 3B Instruct,base,top1,run_base_20260714_164116,configs/eval_llama32_3b_instruct_base_dynamic_bge_large_top1_k1_full_schema_maxinput2048_full_aliasnames.json,cd638753720cd43a32396331f246fec03858992b68999025b8944205aa0a28bc,results/run_base_20260714_164116.csv,1558342a130fc421f25bb320bb8f6fd068d7f395a2ab81af9647b0ad59763088,results/run_base_20260714_164116_metadata.json,966ab6ed9704e0d58d6382d3e1ea2fb0952d40ca0d318bdfd1651f5c2266c9ec,results/retrieval_traces/run_base_20260714_164116_retrieval_traces.jsonl,41a80a7020c652d86c49b60ac1570c9ecb366b8b110281f64815450d4ce046c0,meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,PERSISTED,base,main_06_batch_run,a37286649920f4224999b5184e6117ea31f24968ad2c353ff338397c99a7a3c9,PERSISTED,llama32_instruct_native_chat,d6dd5afc21336e4b44114511a1084e88758692cfb9ad1c24b9ca14e2f30a147e,2048,256,1,sql_first_statement_only,none_explicit,1032,1032,0,0,True,1032,1027,True,1032,True,2023,0,0,True,COMPLETE_VALID,
PRE_K3_AUTHORITATIVE_BASELINE,Llama 3.2 3B Instruct,lora_v2,top1,run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_222657,configs/eval_llama32_3b_instruct_lora_v2_old25k_r8_alpha16_mixedval2500_v2_dynamic_bge_large_top1_k1_full_schema_maxinput2048_full_aliasnames.json,5c02652cb2b51211224a0321db890f441c4786f778a8c1032633bb6d5aa69e79,results/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_222657.csv,ad2113ec0526cb708d01335869e5f873f2784a2ae9afef99e2a36f61837681bd,results/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_222657_metadata.json,e4965b5859de33de338308da3268cc212d827f1f29c4db35f90a8fbaeb0dad1d,results/retrieval_traces/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_222657_retrieval_traces.jsonl,41a80a7020c652d86c49b60ac1570c9ecb366b8b110281f64815450d4ce046c0,meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,PERSISTED,lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5,main_06_batch_run,a37286649920f4224999b5184e6117ea31f24968ad2c353ff338397c99a7a3c9,PERSISTED,llama32_instruct_native_chat,d6dd5afc21336e4b44114511a1084e88758692cfb9ad1c24b9ca14e2f30a147e,2048,256,1,sql_first_statement_only,none_explicit,1032,1032,0,0,True,1032,1032,True,1032,True,2023,0,0,True,COMPLETE_VALID,
