pair_id,model_key,model_line,model_role,role_label,semantic_condition,k1_condition,k3_condition,k1_run_id,k3_run_id,k1_config_path,k1_config_sha256,k3_config_path,k3_config_sha256,k1_result_path,k1_result_sha256,k3_result_path,k3_result_sha256,k1_metadata_path,k3_metadata_path,k1_trace_path,k3_trace_path,cases,case_order_identical,model_adapter_match,testset_match,prompt_system_schema_match,retrieval_method_gate_structure_match,extractor_decoding_output_limit_batch_match,k1_k,k3_k,k1_max_input_tokens,k3_max_input_tokens,k1_timeout_policy,k3_timeout_policy,expected_differences,config_method_notes,comparability_status,comparability_warning
qwen2b:base:top1_vs_top3,qwen2b,Qwen 3.5 2B,base,Base,top3,top1,top3,run_base_20260712_171240,run_k3_qwen2b_base_top3_maxin4352_20260717_101346,configs/eval_qwen35_2b_base_dynamic_fewshot_bge_large_top1_k1_full_schema_maxinput2048_full_aliasnames.json,1fc6fb46af7266f839a507b17fc485d77272fdf69c5a5e06169227a7552d1ab9,configs/eval_qwen35_2b_base_dynamic_bge_large_top3_k3_full_schema_maxin4352_full_aliasnames.json,b511648d49166ace8f17a2bcb8ce36bc29c6a5c31e33a537ebadaf7e5f9e2d76,results/run_base_20260712_171240.csv,0a70345b074532855bbf9ef09a78ea759f7b4037f51f640d2cc07af9156de446,results/k3_extension_20260717/run_k3_qwen2b_base_top3_maxin4352_20260717_101346.csv,4b7b32932e1569a759414c5ca953b38ed4bae31c0d677a3e87f94f105181c9e5,results/run_base_20260712_171240_metadata.json,results/k3_extension_20260717/run_k3_qwen2b_base_top3_maxin4352_20260717_101346_metadata.json,results/retrieval_traces/run_base_20260712_171240_retrieval_traces.jsonl,results/k3_extension_20260717/retrieval_traces/run_k3_qwen2b_base_top3_maxin4352_20260717_101346_retrieval_traces.jsonl,1032,True,True,True,True,True,True,1,3,2048,4352,no_explicit_statement_timeout,no_explicit_statement_timeout,k=1_vs_3;prompt_length;max_input_tokens;output_identity,[],MATCHED_WITH_LIMITATIONS,max_input_tokens_2048_vs_4352
qwen2b:base:top1_gate070_vs_top3_gate070,qwen2b,Qwen 3.5 2B,base,Base,top3_gate070,top1_gate070,top3_gate070,run_base_20260712_183739,run_k3_qwen2b_base_top3_gate070_maxin4352_20260717_114608,configs/eval_qwen35_2b_base_dynamic_fewshot_bge_large_top1_k1_full_schema_similarity_gate070_maxinput2048_full_aliasnames.json,fbece6096a91a564e94be62b98a9834407fa2722c2d72e057252c4ad99e33bd5,configs/eval_qwen35_2b_base_dynamic_bge_large_top3_gate070_k3_full_schema_maxin4352_full_aliasnames.json,98cb022523fd07465aedcac01398e3bc47c53d55552208a63976979241bb8cba,results/run_base_20260712_183739.csv,0f3f996aa8ad7412a21ac76fd015ce5fa1e2f50e8e2da9a8221d2a9ae0a05c73,results/k3_extension_20260717/run_k3_qwen2b_base_top3_gate070_maxin4352_20260717_114608.csv,8a68f1f043486ccbeab498c62052ddf4bcd15fb529062552d6d4b96d8e78f8d9,results/run_base_20260712_183739_metadata.json,results/k3_extension_20260717/run_k3_qwen2b_base_top3_gate070_maxin4352_20260717_114608_metadata.json,results/retrieval_traces/run_base_20260712_183739_retrieval_traces.jsonl,results/k3_extension_20260717/retrieval_traces/run_k3_qwen2b_base_top3_gate070_maxin4352_20260717_114608_retrieval_traces.jsonl,1032,True,True,True,True,True,True,1,3,2048,4352,no_explicit_statement_timeout,no_explicit_statement_timeout,k=1_vs_3;prompt_length;max_input_tokens;output_identity,[],MATCHED_WITH_LIMITATIONS,max_input_tokens_2048_vs_4352
qwen2b:base:top1_gate085_vs_top3_gate085,qwen2b,Qwen 3.5 2B,base,Base,top3_gate085,top1_gate085,top3_gate085,run_base_20260712_194508,run_k3_qwen2b_base_top3_gate085_maxin4352_20260717_124844,configs/eval_qwen35_2b_base_dynamic_fewshot_bge_large_top1_k1_full_schema_similarity_gate085_maxinput2048_full_aliasnames.json,c2d9b210b3176c74ddb201fae46e7fbe15c4409e351546fae841e47ea61200dc,configs/eval_qwen35_2b_base_dynamic_bge_large_top3_gate085_k3_full_schema_maxin4352_full_aliasnames.json,dbca16157748e2763937626af73c5a24ea7d25d664bd6950b5a0331d52ca3d9c,results/run_base_20260712_194508.csv,a644aa4aad5354d74e6adfa02228423b36a12bbb32e6bd9df068563e74061db5,results/k3_extension_20260717/run_k3_qwen2b_base_top3_gate085_maxin4352_20260717_124844.csv,52d9788ed827ef77c73b369c39271ebcdf12c9897abc6a3c1a1882b6f9683f66,results/run_base_20260712_194508_metadata.json,results/k3_extension_20260717/run_k3_qwen2b_base_top3_gate085_maxin4352_20260717_124844_metadata.json,results/retrieval_traces/run_base_20260712_194508_retrieval_traces.jsonl,results/k3_extension_20260717/retrieval_traces/run_k3_qwen2b_base_top3_gate085_maxin4352_20260717_124844_retrieval_traces.jsonl,1032,True,True,True,True,True,True,1,3,2048,4352,no_explicit_statement_timeout,no_explicit_statement_timeout,k=1_vs_3;prompt_length;max_input_tokens;output_identity,[],MATCHED_WITH_LIMITATIONS,max_input_tokens_2048_vs_4352
qwen2b:base:structure_vs_structure_top3,qwen2b,Qwen 3.5 2B,base,Base,structure_top3,structure,structure_top3,run_base_20260712_202105,run_k3_qwen2b_base_structure_top3_maxin4352_20260717_132002,configs/eval_qwen35_2b_base_dynamic_fewshot_bge_large_top10_structure_rerank_v2_k1_full_schema_maxinput2048_full_aliasnames.json,01826862c4677cb5a4efa0df76f02fe4fd575e6f20960088890e23a9cc0ccad0,configs/eval_qwen35_2b_base_dynamic_bge_large_top10_structure_rerank_v2_top3_k3_full_schema_maxin4352_full_aliasnames.json,9f3b70ba37e00fe34ce5347cf381e1be36d4eaa224eaa6aaa3f9ccdbbca6096f,results/run_base_20260712_202105.csv,3666e47eb165dcd5079ab987458e9d257c66ad94214ee0a2e6ea3ec15fd2b15c,results/k3_extension_20260717/run_k3_qwen2b_base_structure_top3_maxin4352_20260717_132002.csv,110b5a3f6d0505e551b5fc2b56268e192206d1766d064ded38fa53f6160687f3,results/run_base_20260712_202105_metadata.json,results/k3_extension_20260717/run_k3_qwen2b_base_structure_top3_maxin4352_20260717_132002_metadata.json,results/retrieval_traces/run_base_20260712_202105_retrieval_traces.jsonl,results/k3_extension_20260717/retrieval_traces/run_k3_qwen2b_base_structure_top3_maxin4352_20260717_132002_retrieval_traces.jsonl,1032,True,True,True,True,True,True,1,3,2048,4352,no_explicit_statement_timeout,no_explicit_statement_timeout,k=1_vs_3;prompt_length;max_input_tokens;output_identity,[],MATCHED_WITH_LIMITATIONS,max_input_tokens_2048_vs_4352
qwen2b:base:structure_gate070_vs_structure_top3_gate070,qwen2b,Qwen 3.5 2B,base,Base,structure_top3_gate070,structure_gate070,structure_top3_gate070,run_base_20260715_102049,run_k3_qwen2b_base_structure_top3_gate070_maxin4352_20260717_145336,configs/eval_qwen35_2b_base_dynamic_fewshot_bge_large_top10_structure_rerank_v2_k1_full_schema_similarity_gate070_maxinput2048_full_aliasnames.json,b260f537fafe8bd6eed9de903a3b6c18f69cc7f74c9342f9726714e4c9252934,configs/eval_qwen35_2b_base_dynamic_bge_large_top10_structure_rerank_v2_top3_gate070_k3_full_schema_maxin4352_full_aliasnames.json,14b2e5f356660bb6988fdeab953ee2ded10c7fb896db0545d33e7b84513dc2f5,results/run_base_20260715_102049.csv,7d92eb047e20b7a07d34d2e8bf052fc58cd7d976cf3ea307e259613ad0157257,results/k3_extension_20260717/run_k3_qwen2b_base_structure_top3_gate070_maxin4352_20260717_145336.csv,42f990f5843b3de64bbfc6034638d2075c738858dd3b86e1d235996d9e14fc99,results/run_base_20260715_102049_metadata.json,results/k3_extension_20260717/run_k3_qwen2b_base_structure_top3_gate070_maxin4352_20260717_145336_metadata.json,results/retrieval_traces/run_base_20260715_102049_retrieval_traces.jsonl,results/k3_extension_20260717/retrieval_traces/run_k3_qwen2b_base_structure_top3_gate070_maxin4352_20260717_145336_retrieval_traces.jsonl,1032,True,True,True,True,True,True,1,3,2048,4352,no_explicit_statement_timeout,no_explicit_statement_timeout,k=1_vs_3;prompt_length;max_input_tokens;output_identity,[],MATCHED_WITH_LIMITATIONS,max_input_tokens_2048_vs_4352
qwen2b:base:structure_gate085_vs_structure_top3_gate085,qwen2b,Qwen 3.5 2B,base,Base,structure_top3_gate085,structure_gate085,structure_top3_gate085,run_base_20260715_112920,run_k3_qwen2b_base_structure_top3_gate085_maxin4352_20260717_155500,configs/eval_qwen35_2b_base_dynamic_fewshot_bge_large_top10_structure_rerank_v2_k1_full_schema_similarity_gate085_maxinput2048_full_aliasnames.json,82facafb387abdf461e2252dbc87bd75e81e97671698363d1a57bb1a8e691a9e,configs/eval_qwen35_2b_base_dynamic_bge_large_top10_structure_rerank_v2_top3_gate085_k3_full_schema_maxin4352_full_aliasnames.json,c17526f9076d528c859ee04d73c6f81dbb26ff3289f5bf5467d0d955c00d6d81,results/run_base_20260715_112920.csv,3693eb102df8637ae7b3dcd3b4e86ae444401fa0693173cf1b29cfb9a75250f8,results/k3_extension_20260717/run_k3_qwen2b_base_structure_top3_gate085_maxin4352_20260717_155500.csv,7022b1f19b4c5f734eb15c228d0d4a47c1e39fd9cac906d835578bbe09fcbef7,results/run_base_20260715_112920_metadata.json,results/k3_extension_20260717/run_k3_qwen2b_base_structure_top3_gate085_maxin4352_20260717_155500_metadata.json,results/retrieval_traces/run_base_20260715_112920_retrieval_traces.jsonl,results/k3_extension_20260717/retrieval_traces/run_k3_qwen2b_base_structure_top3_gate085_maxin4352_20260717_155500_retrieval_traces.jsonl,1032,True,True,True,True,True,True,1,3,2048,4352,no_explicit_statement_timeout,no_explicit_statement_timeout,k=1_vs_3;prompt_length;max_input_tokens;output_identity,[],MATCHED_WITH_LIMITATIONS,max_input_tokens_2048_vs_4352
qwen2b:lora_v2:top1_vs_top3,qwen2b,Qwen 3.5 2B,lora_v2,LoRA v2,top3,top1,top3,run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_091541,run_k3_qwen2b_lora_v2_top3_maxin4352_20260717_162744,configs/eval_qwen35_2b_lora_v2_old25k_r8_alpha16_mixedval2500_v2_bestepoch1_dynamic_bge_large_top1_k1_full_schema_maxinput2048_full_aliasnames.json,b1f4c4b99afc69dff277dba2b9b61d1c4b2c608d3b8958a025e8d8ec53d50535,configs/eval_qwen35_2b_lora_v2_old25k_r8_alpha16_mixedval2500_v2_bestepoch1_dynamic_bge_large_top3_k3_full_schema_maxin4352_full_aliasnames.json,c5c2ab7ec7c8ccb86b1039b7978b2a9ba7b5f5cf6754fac39d87569936803478,results/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_091541.csv,96408c76e118377b37ce2064d3ff7ce0ec9c85fb13f81acd0da625a31fc72d0e,results/k3_extension_20260717/run_k3_qwen2b_lora_v2_top3_maxin4352_20260717_162744.csv,352aa17359aa225b94f2d5acabf9c4f4634e70ff2bd10665c137ce55308bc173,results/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_091541_metadata.json,results/k3_extension_20260717/run_k3_qwen2b_lora_v2_top3_maxin4352_20260717_162744_metadata.json,results/retrieval_traces/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_091541_retrieval_traces.jsonl,results/k3_extension_20260717/retrieval_traces/run_k3_qwen2b_lora_v2_top3_maxin4352_20260717_162744_retrieval_traces.jsonl,1032,True,True,True,True,True,True,1,3,2048,4352,no_explicit_statement_timeout,no_explicit_statement_timeout,k=1_vs_3;prompt_length;max_input_tokens;output_identity,[],MATCHED_WITH_LIMITATIONS,max_input_tokens_2048_vs_4352
qwen2b:lora_v2:top1_gate070_vs_top3_gate070,qwen2b,Qwen 3.5 2B,lora_v2,LoRA v2,top3_gate070,top1_gate070,top3_gate070,run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_095759,run_k3_qwen2b_lora_v2_top3_gate070_maxin4352_20260717_171027,configs/eval_qwen35_2b_lora_v2_old25k_r8_alpha16_mixedval2500_v2_bestepoch1_dynamic_bge_large_top1_gate070_k1_full_schema_maxinput2048_full_aliasnames.json,14596e5351f43f6afc249c351eac8e553b704c37969ab38540dd8b91de3b673e,configs/eval_qwen35_2b_lora_v2_old25k_r8_alpha16_mixedval2500_v2_bestepoch1_dynamic_bge_large_top3_gate070_k3_full_schema_maxin4352_full_aliasnames.json,7186bfc5f0b6abcf6e9e141af5ef717fe20a40d41a8df58ba2046713e2785473,results/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_095759.csv,66b8dc03b38cf681e2ebf16bc6451f325f65f5c5c906b832e88c9a24a0227fe2,results/k3_extension_20260717/run_k3_qwen2b_lora_v2_top3_gate070_maxin4352_20260717_171027.csv,2fef51f414ebd25ae28114ff3ad539d81031c534c824048da91dd57f475147ef,results/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_095759_metadata.json,results/k3_extension_20260717/run_k3_qwen2b_lora_v2_top3_gate070_maxin4352_20260717_171027_metadata.json,results/retrieval_traces/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_095759_retrieval_traces.jsonl,results/k3_extension_20260717/retrieval_traces/run_k3_qwen2b_lora_v2_top3_gate070_maxin4352_20260717_171027_retrieval_traces.jsonl,1032,True,True,True,True,True,True,1,3,2048,4352,no_explicit_statement_timeout,no_explicit_statement_timeout,k=1_vs_3;prompt_length;max_input_tokens;output_identity,[],MATCHED_WITH_LIMITATIONS,max_input_tokens_2048_vs_4352
qwen2b:lora_v2:top1_gate085_vs_top3_gate085,qwen2b,Qwen 3.5 2B,lora_v2,LoRA v2,top3_gate085,top1_gate085,top3_gate085,run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_103913,run_k3_qwen2b_lora_v2_top3_gate085_maxin4352_20260717_175214,configs/eval_qwen35_2b_lora_v2_old25k_r8_alpha16_mixedval2500_v2_bestepoch1_dynamic_bge_large_top1_gate085_k1_full_schema_maxinput2048_full_aliasnames.json,1c3284bb1bf461f2daf430fc768506df2d398f2e36fedf0e9750e9a7ebb08711,configs/eval_qwen35_2b_lora_v2_old25k_r8_alpha16_mixedval2500_v2_bestepoch1_dynamic_bge_large_top3_gate085_k3_full_schema_maxin4352_full_aliasnames.json,4f0f9aa9d0917ee57257b1e161aa5dda13aaf929cb3c394582962ae51ef646eb,results/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_103913.csv,c7470ef62a35a96d653e40e4b06d075a0ab156d2dabeae5341c0e791bccf225e,results/k3_extension_20260717/run_k3_qwen2b_lora_v2_top3_gate085_maxin4352_20260717_175214.csv,ab806da0bdc44fe795b6d0e5738886a7718acb476dc897f3c1587f131fbccf1f,results/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_103913_metadata.json,results/k3_extension_20260717/run_k3_qwen2b_lora_v2_top3_gate085_maxin4352_20260717_175214_metadata.json,results/retrieval_traces/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_103913_retrieval_traces.jsonl,results/k3_extension_20260717/retrieval_traces/run_k3_qwen2b_lora_v2_top3_gate085_maxin4352_20260717_175214_retrieval_traces.jsonl,1032,True,True,True,True,True,True,1,3,2048,4352,no_explicit_statement_timeout,no_explicit_statement_timeout,k=1_vs_3;prompt_length;max_input_tokens;output_identity,[],MATCHED_WITH_LIMITATIONS,max_input_tokens_2048_vs_4352
qwen2b:lora_v2:structure_vs_structure_top3,qwen2b,Qwen 3.5 2B,lora_v2,LoRA v2,structure_top3,structure,structure_top3,run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_120540,run_k3_qwen2b_lora_v2_structure_top3_maxin4352_20260717_183318,configs/eval_qwen35_2b_lora_v2_old25k_r8_alpha16_mixedval2500_v2_bestepoch1_dynamic_bge_large_top10_structure_rerank_v2_k1_full_schema_maxinput2048_full_aliasnames.json,fbc4a91be7d1304d63a12ca13a48bfe9335bf3e543441b9aa972d064ab1a88e3,configs/eval_qwen35_2b_lora_v2_old25k_r8_alpha16_mixedval2500_v2_bestepoch1_dynamic_bge_large_top10_structure_rerank_v2_top3_k3_full_schema_maxin4352_full_aliasnames.json,0e692322a5b8d2af1fc5f5dc2ce884ba4edffb9d68184e042a7e794538b0d6af,results/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_120540.csv,2f909126e53c2c3e91b15692c242b20240d052da9e02f5c5999c32f14eef40b6,results/k3_extension_20260717/run_k3_qwen2b_lora_v2_structure_top3_maxin4352_20260717_183318.csv,96149b93fd8ecb7d1d7d7b413076404783bcced85db0e88283bcd31cf6d8cc17,results/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_120540_metadata.json,results/k3_extension_20260717/run_k3_qwen2b_lora_v2_structure_top3_maxin4352_20260717_183318_metadata.json,results/retrieval_traces/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_120540_retrieval_traces.jsonl,results/k3_extension_20260717/retrieval_traces/run_k3_qwen2b_lora_v2_structure_top3_maxin4352_20260717_183318_retrieval_traces.jsonl,1032,True,True,True,True,True,True,1,3,2048,4352,no_explicit_statement_timeout,no_explicit_statement_timeout,k=1_vs_3;prompt_length;max_input_tokens;output_identity,[],MATCHED_WITH_LIMITATIONS,max_input_tokens_2048_vs_4352
