model_key,model_line,role,role_label,condition,condition_label,run_id,ema,correct,esr,executable,string_exact,normalized_exact,char_accuracy,token_accuracy,esr_minus_ema,prompt_tokens_mean,prompt_tokens_max,completion_tokens_mean,completion_tokens_max,completion_limit_cases,empty_sql,max_input_tokens,max_new_tokens,csv_path,csv_sha256,config_path,config_sha256,metadata_path,metadata_sha256,trace_path,trace_sha256
qwen2b,Qwen 3.5 2B,base,Ausgangsmodell,zero_shot,Zero Shot,run_base_20260627_211410,0.4496124031007752,464,0.7887596899224806,814,0.001937984496124031,0.07364341085271318,0.16323743604651164,0.2260397703488372,0.33914728682170536,371.9089147286822,736,49.96996124031008,256,24,9,1536,256,results/run_base_20260627_211410.csv,5db92d6153c2a77acaf850b8d101008184133013c74f6180c5cbab5e527f7331,configs/eval_qwen35_2b_base_zero_shot_full_aliasnames.json,298d17aedea37a860b42e48e2b6718402e811f62ad85480331b1e8d9e770add7,results/run_base_20260627_211410_metadata.json,e061dd030636f60c99539f5eac0274aca9d573f8558b2fc11ce3489635bcf4fd,,
qwen2b,Qwen 3.5 2B,base,Ausgangsmodell,top1,Dynamic Top-1,run_base_20260712_171240,0.42441860465116277,438,0.749031007751938,773,0.05329457364341085,0.16763565891472867,0.25127414244186047,0.3560602286821706,0.3246124031007752,719.7286821705426,2045,146.9418604651163,256,499,7,2048,256,results/run_base_20260712_171240.csv,0a70345b074532855bbf9ef09a78ea759f7b4037f51f640d2cc07af9156de446,configs/eval_qwen35_2b_base_dynamic_fewshot_bge_large_top1_k1_full_schema_maxinput2048_full_aliasnames.json,1fc6fb46af7266f839a507b17fc485d77272fdf69c5a5e06169227a7552d1ab9,results/run_base_20260712_171240_metadata.json,ccc53f6550c83c6ed9f65f5e78a58788fdec95d845554627de205132841957c0,results/retrieval_traces/run_base_20260712_171240_retrieval_traces.jsonl,e79c0297ad3a0a94e00da96af175693e8dfd450b0cfbd9761c2e46d3efafa049
qwen2b,Qwen 3.5 2B,base,Ausgangsmodell,top1_gate070,Top-1 Gate 0.70,run_base_20260712_183739,0.43410852713178294,448,0.7538759689922481,778,0.04941860465116279,0.13953488372093023,0.22529044476744187,0.31413112596899223,0.31976744186046513,586.125,2041,118.15406976744185,256,351,5,2048,256,results/run_base_20260712_183739.csv,0f3f996aa8ad7412a21ac76fd015ce5fa1e2f50e8e2da9a8221d2a9ae0a05c73,configs/eval_qwen35_2b_base_dynamic_fewshot_bge_large_top1_k1_full_schema_similarity_gate070_maxinput2048_full_aliasnames.json,fbece6096a91a564e94be62b98a9834407fa2722c2d72e057252c4ad99e33bd5,results/run_base_20260712_183739_metadata.json,e38b6a5824393877f14c105595d3d234eeb8876de6a2298aaecb3aeb08b030e4,results/retrieval_traces/run_base_20260712_183739_retrieval_traces.jsonl,64f450f736b53f2408ea4f8c6e96a9d10e99a1cd938ab3c60e860ebd4fa7b5b7
qwen2b,Qwen 3.5 2B,base,Ausgangsmodell,top1_gate085,Top-1 Gate 0.85,run_base_20260712_194508,0.45348837209302323,468,0.7868217054263565,812,0.009689922480620155,0.08236434108527131,0.17298026065891473,0.23847694670542635,0.3333333333333333,391.22093023255815,1307,58.474806201550386,256,63,9,2048,256,results/run_base_20260712_194508.csv,a644aa4aad5354d74e6adfa02228423b36a12bbb32e6bd9df068563e74061db5,configs/eval_qwen35_2b_base_dynamic_fewshot_bge_large_top1_k1_full_schema_similarity_gate085_maxinput2048_full_aliasnames.json,c2d9b210b3176c74ddb201fae46e7fbe15c4409e351546fae841e47ea61200dc,results/run_base_20260712_194508_metadata.json,3fd7edae94c112e73d38225553543f621cf36ebdbde31bbfd6b8ca4ad0aaf401,results/retrieval_traces/run_base_20260712_194508_retrieval_traces.jsonl,ad1ee8c126805ac659fb38dcac67efe64f0f284f58a6b6aedbb1281b3ece16aa
qwen2b,Qwen 3.5 2B,base,Ausgangsmodell,static_seed42,Static k=1 Seed 42,run_base_20260715_091427,0.4253875968992248,439,0.7374031007751938,761,0.029069767441860465,0.14050387596899225,0.22975553294573642,0.3093399224806202,0.312015503875969,595.9089147286821,960,112.91182170542636,256,337,12,2048,256,results/run_base_20260715_091427.csv,b8641af7e268cbb7093a5c0de0db590d285ae0f1262c5dd461dd65d944f0d2c4,configs/eval_qwen35_2b_base_static_fewshot_k1_full_schema_seed42_spidertrain6960_maxinput2048_full_aliasnames.json,23cedbf1ceb8895f527fe81fd0c3dbb7f8fed48e5e217fb38843611fe3681fb0,results/run_base_20260715_091427_metadata.json,19d0dcfec2cdf395677517fb894b51853b71cc992d9629be907178c43ef35a37,results/retrieval_traces/run_base_20260715_091427_retrieval_traces.jsonl,0a0376c7feb11ec548c04cf2b0cd4e7fdf3053b003a1c8baccdb03853665e90b
qwen2b,Qwen 3.5 2B,base,Ausgangsmodell,structure,Structure Top-10 v2,run_base_20260712_202105,0.4331395348837209,447,0.7432170542635659,767,0.05813953488372093,0.17151162790697674,0.2582444040697674,0.37738981782945735,0.31007751937984496,730.718992248062,2045,152.0610465116279,256,522,5,2048,256,results/run_base_20260712_202105.csv,3666e47eb165dcd5079ab987458e9d257c66ad94214ee0a2e6ea3ec15fd2b15c,configs/eval_qwen35_2b_base_dynamic_fewshot_bge_large_top10_structure_rerank_v2_k1_full_schema_maxinput2048_full_aliasnames.json,01826862c4677cb5a4efa0df76f02fe4fd575e6f20960088890e23a9cc0ccad0,results/run_base_20260712_202105_metadata.json,4d40d3b83245189df88cda382d9522a5eaabb4d88dddba0f1835d67edaf639bd,results/retrieval_traces/run_base_20260712_202105_retrieval_traces.jsonl,365178a7208e1a3e038190467012a810321ce6d5b95641e29aec1cae56677a63
qwen2b,Qwen 3.5 2B,base,Ausgangsmodell,structure_gate070,Structure Gate 0.70,run_base_20260715_102049,0.43507751937984496,449,0.75,774,0.05232558139534884,0.13953488372093023,0.22723065019379843,0.3212645067829457,0.31492248062015504,583.2790697674419,2044,119.27325581395348,256,356,6,2048,256,results/run_base_20260715_102049.csv,7d92eb047e20b7a07d34d2e8bf052fc58cd7d976cf3ea307e259613ad0157257,configs/eval_qwen35_2b_base_dynamic_fewshot_bge_large_top10_structure_rerank_v2_k1_full_schema_similarity_gate070_maxinput2048_full_aliasnames.json,b260f537fafe8bd6eed9de903a3b6c18f69cc7f74c9342f9726714e4c9252934,results/run_base_20260715_102049_metadata.json,91971c4482fdf31807649f196a81c181daca0d8dc02311f0cd84b965bc769c22,results/retrieval_traces/run_base_20260715_102049_retrieval_traces.jsonl,51ccf286db38f5c8f2d6dd070bd68639904c913c727bf6c1509be47afebb2fcf
qwen2b,Qwen 3.5 2B,base,Ausgangsmodell,structure_gate085,Structure Gate 0.85,run_base_20260715_112920,0.45445736434108525,469,0.7877906976744186,813,0.009689922480620155,0.08236434108527131,0.17304606395348837,0.23882294379844962,0.3333333333333333,390.718992248062,1307,58.457364341085274,256,63,9,2048,256,results/run_base_20260715_112920.csv,3693eb102df8637ae7b3dcd3b4e86ae444401fa0693173cf1b29cfb9a75250f8,configs/eval_qwen35_2b_base_dynamic_fewshot_bge_large_top10_structure_rerank_v2_k1_full_schema_similarity_gate085_maxinput2048_full_aliasnames.json,82facafb387abdf461e2252dbc87bd75e81e97671698363d1a57bb1a8e691a9e,results/run_base_20260715_112920_metadata.json,3681aeb4342886ca0ced4329db356d78d4a60f7b38df61852d178f7023ce7a31,results/retrieval_traces/run_base_20260715_112920_retrieval_traces.jsonl,6706da477ae9bb56efd5850e52764b99db1bf91f565b7cb8e00bd22baf7bf9c9
qwen2b,Qwen 3.5 2B,lora_v2,LoRA v2,zero_shot,Zero Shot,run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_083452,0.5959302325581395,615,0.8536821705426356,881,0.20251937984496124,0.3430232558139535,0.5508598362403101,0.6477900794573643,0.25775193798449614,371.9089147286822,736,36.78003875968992,164,0,0,2048,256,results/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_083452.csv,31137bc20930d3800b0ab9012fee6c0dfc2ffbda9d15b6b74f96dd6fa34ab507,configs/eval_qwen35_2b_lora_v2_old25k_r8_alpha16_mixedval2500_v2_bestepoch1_zero_shot_maxinput2048_full_aliasnames.json,8a3785a2efb9d4d6a53cc8334115907d01a1cc38d28f17ab6dbeed9662511718,results/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_083452_metadata.json,4a0c2da5c18d576cb5fa3d584e9555220303efe6cf4642d2fee29bc82419f1ba,,
qwen2b,Qwen 3.5 2B,lora_v2,LoRA v2,top1,Dynamic Top-1,run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_091541,0.562015503875969,580,0.8062015503875969,832,0.19089147286821706,0.32170542635658916,0.5209683536821705,0.6120420377906977,0.2441860465116279,719.7286821705426,2045,37.58527131782946,159,0,0,2048,256,results/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_091541.csv,96408c76e118377b37ce2064d3ff7ce0ec9c85fb13f81acd0da625a31fc72d0e,configs/eval_qwen35_2b_lora_v2_old25k_r8_alpha16_mixedval2500_v2_bestepoch1_dynamic_bge_large_top1_k1_full_schema_maxinput2048_full_aliasnames.json,b1f4c4b99afc69dff277dba2b9b61d1c4b2c608d3b8958a025e8d8ec53d50535,results/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_091541_metadata.json,d7b25eb024f35589998ab50acb098689ffcc3e0a65003ffabd28afbce7110dd7,results/retrieval_traces/run_lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5_20260714_091541_retrieval_traces.jsonl,e79c0297ad3a0a94e00da96af175693e8dfd450b0cfbd9761c2e46d3efafa049
