model_line,artifact_type,path,sha256,evidence_status,role_or_exclusion_reason
Qwen 3.5 2B,training_config,configs/train_lora_qwen35_2b_base_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5.json,020662e3158f1d848e0c55976197b57a211b4e92fa96ebc6aca5dd453542b327,AUTHORITATIVE,Executed semantic training configuration
Llama 3.2 3B Instruct,training_config,configs/train_lora_llama32_3b_instruct_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5.json,81001f1a2b6287d589412bab658d50290fa1ba33c9e5557d44b9ff04a1c4282b,AUTHORITATIVE,Executed semantic training configuration
Qwen 3.5 9B,training_config,configs/train_lora_qwen35_9b_base_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5.json,0bfce20d1e97f0b42b61d3db67679e3feef46b94a58a09147e4a5fb82240815e,AUTHORITATIVE,Executed semantic training configuration
ALL,training_entrypoint,src/07_lora_finetune_sft_v1_clean.py,37d038ef7189d5b3868fa2abf5fa90868e1b07fd477aa4edd1c3d3684955eaf7,SUPPORTING,"Current file; directly persisted for Llama run; Qwen runs used documented earlier hash f34e6fc2d8dca457925ebc51a3e7c2e412977cd83780fe0f9fd1a805cc0e3c64"
ALL,helper_module,src/07_lora_finetune_sft_v2.py,13d42f2f767a0bca55d77b89d32b1d89ce2dcbe3000289a7ac68f4bda30f65d0,SUPPORTING,Imported helper functions; not the executed main entrypoint
Qwen 3.5 2B,train_dataset,data/sql_create_context/train_sft_qwen35_2b_base_full_chat_v1_clean_anti_overjoin_mix_spider_train_sqlcc_spider_schema_harmonized_complexity_enriched_25k_seed42_no_dev_overlap.jsonl,c4b72a87d175b79895081a83f525997b71a230fd9088a7f8c59c40673fa0a40d,AUTHORITATIVE,25000 full-chat training examples
Qwen 3.5 9B,train_dataset,data/sql_create_context/train_sft_qwen35_9b_base_full_chat_v1_clean_anti_overjoin_mix_spider_train_sqlcc_spider_schema_harmonized_complexity_enriched_25k_seed42_no_dev_overlap.jsonl,c4b72a87d175b79895081a83f525997b71a230fd9088a7f8c59c40673fa0a40d,AUTHORITATIVE,Byte-identical Qwen 25000-example training dataset
Llama 3.2 3B Instruct,train_dataset,data/sql_create_context/train_sft_llama32_3b_instruct_full_chat_v2_old25k_no_dev_overlap_seed42.jsonl,14f151ba086d183a139579871762992f699a195bc9300214b544947f8d73edb8,AUTHORITATIVE,Same semantic 25000 cases serialized with native Llama chat template
Qwen 3.5 2B|Qwen 3.5 9B,validation_dataset,data/sql_create_context/val_sft_qwen35_full_chat_v2_mixed_trainothers700_sqlcc1800_no_train_no_dev_overlap_seed42_schemaheaderfix.jsonl,711b23a6dfca40234a33e9aca66506eb33df197f69b6f466fd875854bdb89c08,AUTHORITATIVE,MixedVal2500-v2 schema-header-fixed validation dataset
Llama 3.2 3B Instruct,validation_dataset,data/sql_create_context/val_sft_llama32_3b_instruct_full_chat_v2_mixed_trainothers700_sqlcc1800_no_train_no_dev_overlap_seed42_schemaheaderfix.jsonl,917b0f16a45dc86ead42fea508595860b8700d6fb2c019c8125c3170d032bfb0,AUTHORITATIVE,Same semantic MixedVal2500-v2 cases serialized with native Llama chat template
